id;name;artists;popularity;year;release_date
1KGi9sZVMeszgZOWivFpxs;No Scrubs;['TLC'];79;1999;23/02/1999
2m1hi0nfMR9vdGC8UcrnwU;All The Small Things;['blink-182'];79;1999;01/06/1999
2pXpURmn6zC5ZYDMms6fwa;It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);['Perry Como', 'The Fontane Sisters', 'Mitchell Ayres & His Orchestra'];76;1999;20/08/1999
503OTo2dSqe7qk76rgsbep;Still D.R.E.;['Dr. Dre', 'Snoop Dogg'];80;1999;16/11/1999
3cfOd4CMv2snFaKAnMdnvK;All Star;['Smash Mouth'];79;1999;08/06/1999
7H6ev70Weq6DdpZyyTmUXk;Say My Name;"[""Destiny's Child""]";77;1999;27/07/1999
33iv3wnGMrrDugd7GBso1z;My Own Worst Enemy;['Lit'];72;1999;22/02/1999
47BBI51FKFwOMlIiX6m8ya;I Want It That Way;['Backstreet Boys'];79;1999;18/05/1999
4LJhJ6DQS7NwE7UKtvcM52;What's My Age Again?;['blink-182'];75;1999;01/06/1999
7nnWIPM5hwE3DaUBkvOIpy;Drive;['Incubus'];75;1999;26/10/1999
1G391cbiT3v3Cywg8T7DM1;Scar Tissue;['Red Hot Chili Peppers'];77;1999;08/06/1999
64BbK9SFKH2jk86U3dGj2P;Otherside;['Red Hot Chili Peppers'];78;1999;08/06/1999
3MjUtNVVq3C8Fn0MP3zhXa;...Baby One More Time;['Britney Spears'];77;1999;12/01/1999
5cZqsjVs6MevCnAkasbEOX;Break Stuff;['Limp Bizkit'];73;1999;1999
7mnGQesk1TzQLzQ9bYWZPR;She's so High;['Tal Bachman'];72;1999;23/02/1999
6mz1fBdKATx6qP4oP1I65G;Pony;['Ginuwine'];71;1999;08/10/1999
5OQsiBsky2k2kDKy2bX2eT;Learn to Fly;['Foo Fighters'];75;1999;02/11/1999
1TanmIWbaUj5NVwJ3k4XPd;Write This Down;['George Strait'];66;1999;01/01/1999
3rXCZRMiMZp0feGcYXpwYX;Cowboy Take Me Away;['The Chicks'];67;1999;27/08/1999
1Y13csEpu3TK5gQdzGLrd8;Pardon Me;['Incubus'];68;1999;26/10/1999
75IN3CtuZwTHTnZvYM4qnJ;My Name Is;['Eminem'];71;1999;23/02/1999
6xpDh0dXrkVp0Po1qrHUd8;Adam's Song;['blink-182'];70;1999;01/06/1999
0eKyHwckh9vQb8ncZ2DXCs;With Arms Wide Open;['Creed'];65;1999;01/01/1999
1ZozJfi8u9cO2Ob8KwiwNT;Higher;['Creed'];68;1999;01/01/1999
11mwFrKvLXCbcVGNxffGyP;Genie In a Bottle;['Christina Aguilera'];72;1999;1999
6qc34bnVOyqGDPni8H5W0U;Amazed;['Lonestar'];68;1999;1999
4BggEwLhGfrbrl7JBhC8EC;Butterfly;['Crazy Town'];72;1999;04/11/1999
